At,Heartrate
06-11-2021 23:49:41,83
06-11-2021 23:49:47,83
06-11-2021 23:49:53,83
06-11-2021 23:49:58,83
06-11-2021 23:50:04,83
06-11-2021 23:50:10,83
06-11-2021 23:50:16,83
06-11-2021 23:50:23,87
06-11-2021 23:50:25,90
06-11-2021 23:50:27,89
06-11-2021 23:50:33,89
06-11-2021 23:50:35,88
06-11-2021 23:50:40,87
06-11-2021 23:50:44,87
06-11-2021 23:50:50,87
06-11-2021 23:50:54,89
06-11-2021 23:50:56,88
06-11-2021 23:51:02,85
06-11-2021 23:51:04,88
06-11-2021 23:51:05,87
06-11-2021 23:51:07,85
06-11-2021 23:51:09,84
06-11-2021 23:51:13,83
06-11-2021 23:51:15,81
06-11-2021 23:51:17,80
06-11-2021 23:51:19,79
06-11-2021 23:51:21,80
06-11-2021 23:51:28,80
06-11-2021 23:51:29,78
06-11-2021 23:51:34,79
06-11-2021 23:51:36,81
06-11-2021 23:51:38,82
06-11-2021 23:51:40,81
06-11-2021 23:51:44,82
06-11-2021 23:51:48,84
06-11-2021 23:51:50,86
06-11-2021 23:51:52,83
06-11-2021 23:51:53,82
06-11-2021 23:51:55,81
06-11-2021 23:51:57,83
06-11-2021 23:51:59,84
06-11-2021 23:52:01,86
06-11-2021 23:52:03,83
06-11-2021 23:52:05,82
06-11-2021 23:52:07,81
06-11-2021 23:52:11,82
06-11-2021 23:52:13,83
06-11-2021 23:52:16,84
06-11-2021 23:52:19,85
06-11-2021 23:52:24,85
06-11-2021 23:52:26,80
06-11-2021 23:52:28,78
06-11-2021 23:52:30,79
06-11-2021 23:52:32,78
06-11-2021 23:52:38,78
06-11-2021 23:52:40,80
06-11-2021 23:52:41,79
06-11-2021 23:52:43,80
06-11-2021 23:52:49,79
06-11-2021 23:52:55,79
06-11-2021 23:52:57,83
06-11-2021 23:52:59,79
06-11-2021 23:53:01,78
06-11-2021 23:53:05,79
06-11-2021 23:53:10,79
06-11-2021 23:53:12,80
06-11-2021 23:53:14,77
06-11-2021 23:53:16,76
06-11-2021 23:53:20,79
06-11-2021 23:53:22,81
06-11-2021 23:53:24,82
06-11-2021 23:53:26,83
06-11-2021 23:53:28,84
06-11-2021 23:53:33,84
06-11-2021 23:53:35,77
06-11-2021 23:53:37,73
06-11-2021 23:53:39,69
06-11-2021 23:53:41,71
06-11-2021 23:53:43,70
06-11-2021 23:53:45,75
06-11-2021 23:53:47,77
06-11-2021 23:53:53,77
06-11-2021 23:53:58,77
06-11-2021 23:54:04,77
06-11-2021 23:54:10,77
06-11-2021 23:54:16,77
06-11-2021 23:54:31,78
06-11-2021 23:54:40,78
06-11-2021 23:54:41,88
06-11-2021 23:54:42,84
06-11-2021 23:54:45,85
06-11-2021 23:54:50,85
06-11-2021 23:54:52,82
06-11-2021 23:54:54,83
06-11-2021 23:55:07,82
06-11-2021 23:55:09,84
06-11-2021 23:55:11,87
06-11-2021 23:55:13,86
06-11-2021 23:55:19,86
06-11-2021 23:55:25,86
06-11-2021 23:55:28,87
06-11-2021 23:55:29,92
06-11-2021 23:55:30,96
06-11-2021 23:55:32,100
06-11-2021 23:55:34,98
06-11-2021 23:55:36,99
06-11-2021 23:55:42,99
06-11-2021 23:55:48,99
06-11-2021 23:55:54,99
06-11-2021 23:55:59,99
06-11-2021 23:56:05,99
06-11-2021 23:56:11,99
06-11-2021 23:56:17,99
06-11-2021 23:56:22,99
06-11-2021 23:56:28,99
06-11-2021 23:56:34,99
06-11-2021 23:56:40,99
06-11-2021 23:56:45,99
06-11-2021 23:56:51,99
06-11-2021 23:56:57,99
06-11-2021 23:57:04,99
06-11-2021 23:57:08,99
06-11-2021 23:57:14,99
06-11-2021 23:57:20,99
06-11-2021 23:57:26,99
06-11-2021 23:57:31,99
06-11-2021 23:57:37,99
06-11-2021 23:57:43,99
06-11-2021 23:57:49,99
06-11-2021 23:57:55,99
06-11-2021 23:58:00,99
06-11-2021 23:58:04,102
06-11-2021 23:58:06,101
06-11-2021 23:58:12,101
06-11-2021 23:58:17,101
06-11-2021 23:58:23,101
06-11-2021 23:58:29,97
06-11-2021 23:58:31,99
06-11-2021 23:58:33,98
06-11-2021 23:58:37,97
06-11-2021 23:58:42,97
06-11-2021 23:58:48,97
06-11-2021 23:58:54,97
06-11-2021 23:59:00,97
06-11-2021 23:59:06,97
06-11-2021 23:59:11,97
06-11-2021 23:59:19,84
06-11-2021 23:59:21,86
06-11-2021 23:59:23,85
06-11-2021 23:59:28,84
06-11-2021 23:59:31,85
06-11-2021 23:59:36,84
06-11-2021 23:59:42,84
06-11-2021 23:59:48,84
06-11-2021 23:59:53,84
06-11-2021 23:59:57,92
06-11-2021 23:59:59,89
07-11-2021 00:00:01,90
07-11-2021 00:00:07,90
07-11-2021 00:00:13,90
07-11-2021 00:00:18,90
07-11-2021 00:00:20,82
